City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,9.76,55,36,10.27,Edinburgh of the Seven Seas,0
1,grytviken,-54.2811,-36.5092,2.64,97,100,5.84,Grytviken,-7200
2,waitangi,-43.9535,-176.5597,12.12,86,94,3.13,Waitangi,49500
3,ribeira grande,38.5167,-28.7,20.22,68,20,4.63,Ribeira Grande,0
4,adamstown,-25.066,-130.1015,19.85,76,72,11.07,Adamstown,-28800
5,port-aux-francais,-49.35,70.2167,1.88,69,83,14.97,Port-aux-Français,18000
6,bethel,41.3712,-73.414,25.5,58,37,0.45,Bethel,-14400
7,tiksi,71.6872,128.8694,-2.39,78,100,6.25,Tiksi,32400
8,chorozinho,-4.3003,-38.4978,28.95,56,60,4.9,Chorozinho,-10800
9,zubtsov,56.1753,34.5894,11.42,84,100,2.35,Zubtsov,10800
10,iqaluit,63.7506,-68.5145,4.85,75,75,5.66,Iqaluit,-14400
11,hobyo,5.3505,48.5268,26.02,87,8,8.57,Hobyo,10800
12,salmon arm,50.6998,-119.3024,13.62,67,97,0.51,Salmon Arm,-25200
13,berdigestyakh,62.0989,126.6992,4.05,77,100,0.45,Berdigestyakh,32400
14,alakurtti,66.9672,30.3491,3.59,76,100,1.28,Alakurtti,10800
15,nova sintra,14.8667,-24.7167,23.83,81,77,4.38,Nova Sintra,-3600
16,thinadhoo,0.5333,72.9333,27.93,76,59,5.12,Thinadhoo,18000
17,college,64.8569,-147.8028,1.97,92,100,3.6,College,-28800
18,olonkinbyen,70.9221,-8.7187,2.44,97,100,7.59,Olonkinbyen,7200
19,margaret river,-33.95,115.0667,12.82,65,91,7.38,Margaret River,28800
20,yellowknife,62.456,-114.3525,10.79,98,75,1.54,Yellowknife,-21600
21,punta arenas,-53.15,-70.9167,9.06,57,100,4.63,Punta Arenas,-10800
22,puerto natales,-51.7236,-72.4875,8.25,66,75,3.6,Puerto Natales,-10800
23,colonia,50.9333,6.95,21.13,65,0,3.09,Cologne,7200
24,cabedelo,-6.9811,-34.8339,28.37,73,46,5.14,Cabedelo,-10800
25,bilibino,68.0546,166.4372,-8.36,97,100,0.83,Bilibino,43200
26,ushuaia,-54.8,-68.3,6.81,49,75,1.54,Ushuaia,-10800
27,kerikeri,-35.2268,173.9474,12.17,93,19,3.54,Kerikeri,46800
